location,count,link
"boise, idaho",90,"https://evanwill.github.io/hearings-text/browse.html#boise,%20idaho"
"long canyon (landform)",87,"https://evanwill.github.io/hearings-text/browse.html#long%20canyon%20(landform)"
"mallard-larkins (wilderness)",72,"https://evanwill.github.io/hearings-text/browse.html#mallard-larkins%20(wilderness)"
"united states (country)",61,"https://evanwill.github.io/hearings-text/browse.html#united%20states%20(country)"
"boise (city)",57,"https://evanwill.github.io/hearings-text/browse.html#boise%20(city)"
"idaho (state)",56,"https://evanwill.github.io/hearings-text/browse.html#idaho%20(state)"
"boundary county (county)",46,"https://evanwill.github.io/hearings-text/browse.html#boundary%20county%20(county)"
"bonners ferry, idaho",41,"https://evanwill.github.io/hearings-text/browse.html#bonners%20ferry,%20idaho"
"salmo-priest (wilderness)",37,"https://evanwill.github.io/hearings-text/browse.html#salmo-priest%20(wilderness)"
"selkirk crest (landform)",37,"https://evanwill.github.io/hearings-text/browse.html#selkirk%20crest%20(landform)"
"kelly creek (stream)",35,"https://evanwill.github.io/hearings-text/browse.html#kelly%20creek%20(stream)"
"palisades (landform)",32,"https://evanwill.github.io/hearings-text/browse.html#palisades%20(landform)"
"idaho falls, idaho",31,"https://evanwill.github.io/hearings-text/browse.html#idaho%20falls,%20idaho"
"sawtooth wilderness area (wilderness)",31,"https://evanwill.github.io/hearings-text/browse.html#sawtooth%20wilderness%20area%20(wilderness)"
"the selkirk crest (landform)",31,"https://evanwill.github.io/hearings-text/browse.html#the%20selkirk%20crest%20(landform)"
"creek (stream)",30,"https://evanwill.github.io/hearings-text/browse.html#creek%20(stream)"
"coeur d'alene (city)",29,"https://evanwill.github.io/hearings-text/browse.html#coeur%20d'alene%20(city)"
"white clouds (wilderness)",29,"https://evanwill.github.io/hearings-text/browse.html#white%20clouds%20(wilderness)"
"america (country)",28,"https://evanwill.github.io/hearings-text/browse.html#america%20(country)"
"coeur dâ€™alene, idaho",28,"https://evanwill.github.io/hearings-text/browse.html#coeur%20d%E2%80%99alene,%20idaho"
"washington (state)",28,"https://evanwill.github.io/hearings-text/browse.html#washington%20(state)"
"borah peak (landform)",27,"https://evanwill.github.io/hearings-text/browse.html#borah%20peak%20(landform)"
"bonners ferry (city)",27,"https://evanwill.github.io/hearings-text/browse.html#bonners%20ferry%20(city)"
"moscow, idaho",26,"https://evanwill.github.io/hearings-text/browse.html#moscow,%20idaho"
"salmon (stream)",26,"https://evanwill.github.io/hearings-text/browse.html#salmon%20(stream)"
"montana (state)",25,"https://evanwill.github.io/hearings-text/browse.html#montana%20(state)"
"garns mountain (landform)",24,"https://evanwill.github.io/hearings-text/browse.html#garns%20mountain%20(landform)"
"alaska (state)",24,"https://evanwill.github.io/hearings-text/browse.html#alaska%20(state)"
"salmon river (stream)",23,"https://evanwill.github.io/hearings-text/browse.html#salmon%20river%20(stream)"
"california (state)",19,"https://evanwill.github.io/hearings-text/browse.html#california%20(state)"
"great burn wilderness area (wilderness)",19,"https://evanwill.github.io/hearings-text/browse.html#great%20burn%20wilderness%20area%20(wilderness)"
"cayuse creek (stream)",19,"https://evanwill.github.io/hearings-text/browse.html#cayuse%20creek%20(stream)"
"wilderness (wilderness)",17,"https://evanwill.github.io/hearings-text/browse.html#wilderness%20(wilderness)"
"moscow (city)",17,"https://evanwill.github.io/hearings-text/browse.html#moscow%20(city)"
"oregon (state)",16,"https://evanwill.github.io/hearings-text/browse.html#oregon%20(state)"
"idaho falls (city)",16,"https://evanwill.github.io/hearings-text/browse.html#idaho%20falls%20(city)"
"lewiston, idaho",16,"https://evanwill.github.io/hearings-text/browse.html#lewiston,%20idaho"
"sandpoint, idaho",15,"https://evanwill.github.io/hearings-text/browse.html#sandpoint,%20idaho"
"orofino (city)",14,"https://evanwill.github.io/hearings-text/browse.html#orofino%20(city)"
"selkirk (landform)",14,"https://evanwill.github.io/hearings-text/browse.html#selkirk%20(landform)"
"challis (city)",14,"https://evanwill.github.io/hearings-text/browse.html#challis%20(city)"
"white cloud mountains (landform)",14,"https://evanwill.github.io/hearings-text/browse.html#white%20cloud%20mountains%20(landform)"
"south fork (stream)",13,"https://evanwill.github.io/hearings-text/browse.html#south%20fork%20(stream)"
"wyoming (state)",13,"https://evanwill.github.io/hearings-text/browse.html#wyoming%20(state)"
"earth (planet)",13,"https://evanwill.github.io/hearings-text/browse.html#earth%20(planet)"
"lewiston (city)",13,"https://evanwill.github.io/hearings-text/browse.html#lewiston%20(city)"
"white cloud-boulder mountain
 (landform)",12,"https://evanwill.github.io/hearings-text/browse.html#white%20cloud-boulder%20mountain"
"jersey jack (wilderness)",12,"https://evanwill.github.io/hearings-text/browse.html#jersey%20jack%20(wilderness)"
"ketchum, idaho",12,"https://evanwill.github.io/hearings-text/browse.html#ketchum,%20idaho"
"northern lemhis (landform)",12,"https://evanwill.github.io/hearings-text/browse.html#northern%20lemhis%20(landform)"
"bonner county (county)",11,"https://evanwill.github.io/hearings-text/browse.html#bonner%20county%20(county)"
"challis national forest (forest)",11,"https://evanwill.github.io/hearings-text/browse.html#challis%20national%20forest%20(forest)"
"the payette crest (landform)",10,"https://evanwill.github.io/hearings-text/browse.html#the%20payette%20crest%20(landform)"
"mccall (city)",10,"https://evanwill.github.io/hearings-text/browse.html#mccall%20(city)"
"north fork (stream)",10,"https://evanwill.github.io/hearings-text/browse.html#north%20fork%20(stream)"
"u.s. (country)",10,"https://evanwill.github.io/hearings-text/browse.html#u.s.%20(country)"
"sandpoint (city)",10,"https://evanwill.github.io/hearings-text/browse.html#sandpoint%20(city)"
"idaho county (county)",9,"https://evanwill.github.io/hearings-text/browse.html#idaho%20county%20(county)"
"pocatello (city)",9,"https://evanwill.github.io/hearings-text/browse.html#pocatello%20(city)"
"lemhis (wilderness)",9,"https://evanwill.github.io/hearings-text/browse.html#lemhis%20(wilderness)"
"utah (state)",9,"https://evanwill.github.io/hearings-text/browse.html#utah%20(state)"
"diamond peak (landform)",9,"https://evanwill.github.io/hearings-text/browse.html#diamond%20peak%20(landform)"
"sawtooths (landform)",9,"https://evanwill.github.io/hearings-text/browse.html#sawtooths%20(landform)"
"elk summit (landform)",9,"https://evanwill.github.io/hearings-text/browse.html#elk%20summit%20(landform)"
"boulder mountains (landform)",9,"https://evanwill.github.io/hearings-text/browse.html#boulder%20mountains%20(landform)"
"lost river range (landform)",8,"https://evanwill.github.io/hearings-text/browse.html#lost%20river%20range%20(landform)"
"mount naomi (landform)",8,"https://evanwill.github.io/hearings-text/browse.html#mount%20naomi%20(landform)"
"rapid river (stream)",8,"https://evanwill.github.io/hearings-text/browse.html#rapid%20river%20(stream)"
"naples, idaho",8,"https://evanwill.github.io/hearings-text/browse.html#naples,%20idaho"
"new york (state)",8,"https://evanwill.github.io/hearings-text/browse.html#new%20york%20(state)"
"peaks (landform)",8,"https://evanwill.github.io/hearings-text/browse.html#peaks%20(landform)"
"washington d.c. (city)",8,"https://evanwill.github.io/hearings-text/browse.html#washington%20d.c.%20(city)"
"boise river (stream)",8,"https://evanwill.github.io/hearings-text/browse.html#boise%20river%20(stream)"
"the salmo priest (wilderness)",8,"https://evanwill.github.io/hearings-text/browse.html#the%20salmo%20priest%20(wilderness)"
"bighorn weitas (wilderness)",8,"https://evanwill.github.io/hearings-text/browse.html#bighorn%20weitas%20(wilderness)"
"idaho wilderness core (wilderness)",8,"https://evanwill.github.io/hearings-text/browse.html#idaho%20wilderness%20core%20(wilderness)"
"payette crest (landform)",8,"https://evanwill.github.io/hearings-text/browse.html#payette%20crest%20(landform)"
"west big hole (wilderness)",7,"https://evanwill.github.io/hearings-text/browse.html#west%20big%20hole%20(wilderness)"
"the middle fork (stream)",7,"https://evanwill.github.io/hearings-text/browse.html#the%20middle%20fork%20(stream)"
"payette national forest (forest)",7,"https://evanwill.github.io/hearings-text/browse.html#payette%20national%20forest%20(forest)"
"river of no return wilderness (wilderness)",7,"https://evanwill.github.io/hearings-text/browse.html#river%20of%20no%20return%20wilderness%20(wilderness)"
"clearwater national forest (forest)",7,"https://evanwill.github.io/hearings-text/browse.html#clearwater%20national%20forest%20(forest)"
"steel mountain (landform)",7,"https://evanwill.github.io/hearings-text/browse.html#steel%20mountain%20(landform)"
"clearwater river (stream)",7,"https://evanwill.github.io/hearings-text/browse.html#clearwater%20river%20(stream)"
"boise national forest (forest)",7,"https://evanwill.github.io/hearings-text/browse.html#boise%20national%20forest%20(forest)"
"bear creek (stream)",7,"https://evanwill.github.io/hearings-text/browse.html#bear%20creek%20(stream)"
"elk city (city)",7,"https://evanwill.github.io/hearings-text/browse.html#elk%20city%20(city)"
"pahsimeroi (landform)",7,"https://evanwill.github.io/hearings-text/browse.html#pahsimeroi%20(landform)"
"canyon (landform)",7,"https://evanwill.github.io/hearings-text/browse.html#canyon%20(landform)"
"targhee national forest (forest)",7,"https://evanwill.github.io/hearings-text/browse.html#targhee%20national%20forest%20(forest)"
"salmon, idaho",6,"https://evanwill.github.io/hearings-text/browse.html#salmon,%20idaho"
"mallard creek (stream)",6,"https://evanwill.github.io/hearings-text/browse.html#mallard%20creek%20(stream)"
"the sawtooth national forest (forest)",6,"https://evanwill.github.io/hearings-text/browse.html#the%20sawtooth%20national%20forest%20(forest)"
"scotchman (landform)",6,"https://evanwill.github.io/hearings-text/browse.html#scotchman%20(landform)"
"scotchman peak (landform)",6,"https://evanwill.github.io/hearings-text/browse.html#scotchman%20peak%20(landform)"
"sawtooth national recreation area (wilderness)",6,"https://evanwill.github.io/hearings-text/browse.html#sawtooth%20national%20recreation%20area%20(wilderness)"
"the clearwater national forest (forest)",6,"https://evanwill.github.io/hearings-text/browse.html#the%20clearwater%20national%20forest%20(forest)"
"selway-bitterroot wilderness (wilderness)",6,"https://evanwill.github.io/hearings-text/browse.html#selway-bitterroot%20wilderness%20(wilderness)"
"payette forest (forest)",6,"https://evanwill.github.io/hearings-text/browse.html#payette%20forest%20(forest)"
"grangeville (city)",6,"https://evanwill.github.io/hearings-text/browse.html#grangeville%20(city)"
"white clouds wilderness area (wilderness)",6,"https://evanwill.github.io/hearings-text/browse.html#white%20clouds%20wilderness%20area%20(wilderness)"
"idaho panhandle national forest (forest)",6,"https://evanwill.github.io/hearings-text/browse.html#idaho%20panhandle%20national%20forest%20(forest)"
"the nez perce national forest (forest)",6,"https://evanwill.github.io/hearings-text/browse.html#the%20nez%20perce%20national%20forest%20(forest)"
"st. maries (city)",6,"https://evanwill.github.io/hearings-text/browse.html#st.%20maries%20(city)"
"targhee forest (forest)",6,"https://evanwill.github.io/hearings-text/browse.html#targhee%20forest%20(forest)"
"grandmother mountain (landform)",6,"https://evanwill.github.io/hearings-text/browse.html#grandmother%20mountain%20(landform)"
"blaine county (county)",6,"https://evanwill.github.io/hearings-text/browse.html#blaine%20county%20(county)"
"priest river (stream)",6,"https://evanwill.github.io/hearings-text/browse.html#priest%20river%20(stream)"
"overthrust belt (landform)",6,"https://evanwill.github.io/hearings-text/browse.html#overthrust%20belt%20(landform)"
"nation (country)",6,"https://evanwill.github.io/hearings-text/browse.html#nation%20(country)"
"lemhi (landform)",6,"https://evanwill.github.io/hearings-text/browse.html#lemhi%20(landform)"
"toboggan creek (stream)",6,"https://evanwill.github.io/hearings-text/browse.html#toboggan%20creek%20(stream)"
"canyon creek (stream)",6,"https://evanwill.github.io/hearings-text/browse.html#canyon%20creek%20(stream)"
"little wood river (stream)",5,"https://evanwill.github.io/hearings-text/browse.html#little%20wood%20river%20(stream)"
"french creek (stream)",5,"https://evanwill.github.io/hearings-text/browse.html#french%20creek%20(stream)"
"mccall, idaho",5,"https://evanwill.github.io/hearings-text/browse.html#mccall,%20idaho"
"tetons (landform)",5,"https://evanwill.github.io/hearings-text/browse.html#tetons%20(landform)"
"lick creek (stream)",5,"https://evanwill.github.io/hearings-text/browse.html#lick%20creek%20(stream)"
"st. joe (stream)",5,"https://evanwill.github.io/hearings-text/browse.html#st.%20joe%20(stream)"
"moyie springs (city)",5,"https://evanwill.github.io/hearings-text/browse.html#moyie%20springs%20(city)"
"st. maries, idaho",5,"https://evanwill.github.io/hearings-text/browse.html#st.%20maries,%20idaho"
"kellogg (city)",5,"https://evanwill.github.io/hearings-text/browse.html#kellogg%20(city)"
"priest lake (lake)",5,"https://evanwill.github.io/hearings-text/browse.html#priest%20lake%20(lake)"
"pennsylvania (state)",5,"https://evanwill.github.io/hearings-text/browse.html#pennsylvania%20(state)"
"fish creek (stream)",5,"https://evanwill.github.io/hearings-text/browse.html#fish%20creek%20(stream)"
"bargamin creek (stream)",5,"https://evanwill.github.io/hearings-text/browse.html#bargamin%20creek%20(stream)"
"orofino, idaho",5,"https://evanwill.github.io/hearings-text/browse.html#orofino,%20idaho"
"lemhi range (landform)",5,"https://evanwill.github.io/hearings-text/browse.html#lemhi%20range%20(landform)"
"pullman, washington",5,"https://evanwill.github.io/hearings-text/browse.html#pullman,%20washington"
"the little north fork (stream)",5,"https://evanwill.github.io/hearings-text/browse.html#the%20little%20north%20fork%20(stream)"
"the boise national forest (forest)",5,"https://evanwill.github.io/hearings-text/browse.html#the%20boise%20national%20forest%20(forest)"
"scott mountain (landform)",5,"https://evanwill.github.io/hearings-text/browse.html#scott%20mountain%20(landform)"
"mountain (landform)",5,"https://evanwill.github.io/hearings-text/browse.html#mountain%20(landform)"
"red mountain (landform)",5,"https://evanwill.github.io/hearings-text/browse.html#red%20mountain%20(landform)"
"benewah county (county)",4,"https://evanwill.github.io/hearings-text/browse.html#benewah%20county%20(county)"
"british columbia (state)",4,"https://evanwill.github.io/hearings-text/browse.html#british%20columbia%20(state)"
"new jersey (state)",4,"https://evanwill.github.io/hearings-text/browse.html#new%20jersey%20(state)"
"gospel hump wildneress (wilderness)",4,"https://evanwill.github.io/hearings-text/browse.html#gospel%20hump%20wildneress%20(wilderness)"
"salmon national forest (forest)",4,"https://evanwill.github.io/hearings-text/browse.html#salmon%20national%20forest%20(forest)"
"rocky mountain (landform)",4,"https://evanwill.github.io/hearings-text/browse.html#rocky%20mountain%20(landform)"
"colorado (state)",4,"https://evanwill.github.io/hearings-text/browse.html#colorado%20(state)"
"worm creek (stream)",4,"https://evanwill.github.io/hearings-text/browse.html#worm%20creek%20(stream)"
"scotchmans peak (landform)",4,"https://evanwill.github.io/hearings-text/browse.html#scotchmans%20peak%20(landform)"
"sagle, idaho",4,"https://evanwill.github.io/hearings-text/browse.html#sagle,%20idaho"
"moyie springs, idaho",4,"https://evanwill.github.io/hearings-text/browse.html#moyie%20springs,%20idaho"
"los angeles (city)",4,"https://evanwill.github.io/hearings-text/browse.html#los%20angeles%20(city)"
"ketchum (city)",4,"https://evanwill.github.io/hearings-text/browse.html#ketchum%20(city)"
"yuba river (stream)",4,"https://evanwill.github.io/hearings-text/browse.html#yuba%20river%20(stream)"
"great burn-cayuse (wilderness)",4,"https://evanwill.github.io/hearings-text/browse.html#great%20burn-cayuse%20(wilderness)"
"lochsa river (stream)",4,"https://evanwill.github.io/hearings-text/browse.html#lochsa%20river%20(stream)"
"new york city (city)",4,"https://evanwill.github.io/hearings-text/browse.html#new%20york%20city%20(city)"
"riggins (city)",4,"https://evanwill.github.io/hearings-text/browse.html#riggins%20(city)"
"running creek (stream)",4,"https://evanwill.github.io/hearings-text/browse.html#running%20creek%20(stream)"
"caribou (forest)",4,"https://evanwill.github.io/hearings-text/browse.html#caribou%20(forest)"
"upper priest lake (lake)",4,"https://evanwill.github.io/hearings-text/browse.html#upper%20priest%20lake%20(lake)"
"nez perce forest (forest)",4,"https://evanwill.github.io/hearings-text/browse.html#nez%20perce%20forest%20(forest)"
"alpine (stream)",4,"https://evanwill.github.io/hearings-text/browse.html#alpine%20(stream)"
"the south fork (stream)",4,"https://evanwill.github.io/hearings-text/browse.html#the%20south%20fork%20(stream)"
"pioneer mountains (landform)",4,"https://evanwill.github.io/hearings-text/browse.html#pioneer%20mountains%20(landform)"
"moose mountain (landform)",4,"https://evanwill.github.io/hearings-text/browse.html#moose%20mountain%20(landform)"
"county (county)",4,"https://evanwill.github.io/hearings-text/browse.html#county%20(county)"
"mount borah (landform)",4,"https://evanwill.github.io/hearings-text/browse.html#mount%20borah%20(landform)"
"michigan (state)",4,"https://evanwill.github.io/hearings-text/browse.html#michigan%20(state)"
"the targhee national forest (forest)",4,"https://evanwill.github.io/hearings-text/browse.html#the%20targhee%20national%20forest%20(forest)"
"pocatello, idaho",4,"https://evanwill.github.io/hearings-text/browse.html#pocatello,%20idaho"
"panhandle national forest (forest)",4,"https://evanwill.github.io/hearings-text/browse.html#panhandle%20national%20forest%20(forest)"
"challis (forest)",4,"https://evanwill.github.io/hearings-text/browse.html#challis%20(forest)"
"snake river (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#snake%20river%20(stream)"
"clearwater forest (forest)",3,"https://evanwill.github.io/hearings-text/browse.html#clearwater%20forest%20(forest)"
"north lemhis (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#north%20lemhis%20(landform)"
"louisiana (state)",3,"https://evanwill.github.io/hearings-text/browse.html#louisiana%20(state)"
"west mink creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#west%20mink%20creek%20(stream)"
"yellow pine (city)",3,"https://evanwill.github.io/hearings-text/browse.html#yellow%20pine%20(city)"
"smith creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#smith%20creek%20(stream)"
"red river district (forest)",3,"https://evanwill.github.io/hearings-text/browse.html#red%20river%20district%20(forest)"
"toboggan ridge (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#toboggan%20ridge%20(landform)"
"mill creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#mill%20creek%20(stream)"
"the borah peak (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#the%20borah%20peak%20(landform)"
"parker ridge (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#parker%20ridge%20(landform)"
"boulder creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#boulder%20creek%20(stream)"
"selkirk mountains (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#selkirk%20mountains%20(landform)"
"collins creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#collins%20creek%20(stream)"
"ohio (state)",3,"https://evanwill.github.io/hearings-text/browse.html#ohio%20(state)"
"cache crest (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#cache%20crest%20(landform)"
"middle fork (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#middle%20fork%20(stream)"
"lakes butte (lake)",3,"https://evanwill.github.io/hearings-text/browse.html#lakes%20butte%20(lake)"
"minnesaka creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#minnesaka%20creek%20(stream)"
"yellowstone national park (forest)",3,"https://evanwill.github.io/hearings-text/browse.html#yellowstone%20national%20park%20(forest)"
"hungary creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#hungary%20creek%20(stream)"
"hoodoo great burn area (wilderness)",3,"https://evanwill.github.io/hearings-text/browse.html#hoodoo%20great%20burn%20area%20(wilderness)"
"elk city, idaho",3,"https://evanwill.github.io/hearings-text/browse.html#elk%20city,%20idaho"
"stump creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#stump%20creek%20(stream)"
"yellowstone park (forest)",3,"https://evanwill.github.io/hearings-text/browse.html#yellowstone%20park%20(forest)"
"boundary countys (county)",3,"https://evanwill.github.io/hearings-text/browse.html#boundary%20countys%20(county)"
"north lemhi (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#north%20lemhi%20(landform)"
"western slope (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#western%20slope%20(landform)"
"arizona (state)",3,"https://evanwill.github.io/hearings-text/browse.html#arizona%20(state)"
"selway-bitterroot (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#selway-bitterroot%20(landform)"
"dixie (city)",3,"https://evanwill.github.io/hearings-text/browse.html#dixie%20(city)"
"pullman (city)",3,"https://evanwill.github.io/hearings-text/browse.html#pullman%20(city)"
"clarkia (city)",3,"https://evanwill.github.io/hearings-text/browse.html#clarkia%20(city)"
"blaine county, idaho",3,"https://evanwill.github.io/hearings-text/browse.html#blaine%20county,%20idaho"
"clearwater county (county)",3,"https://evanwill.github.io/hearings-text/browse.html#clearwater%20county%20(county)"
"evanston (city)",3,"https://evanwill.github.io/hearings-text/browse.html#evanston%20(city)"
"nez perce national forest (forest)",3,"https://evanwill.github.io/hearings-text/browse.html#nez%20perce%20national%20forest%20(forest)"
"isabella creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#isabella%20creek%20(stream)"
"custer county (county)",3,"https://evanwill.github.io/hearings-text/browse.html#custer%20county%20(county)"
"lemhi county (county)",3,"https://evanwill.github.io/hearings-text/browse.html#lemhi%20county%20(county)"
"kootenai county (county)",3,"https://evanwill.github.io/hearings-text/browse.html#kootenai%20county%20(county)"
